Date,Strike,Call,Maturity,Put
2014-09-30,3175.0,126.8,2014-12-19,78.8
2014-09-30,3200.0,110.9,2014-12-19,87.9
2014-09-30,3225.0,96.1,2014-12-19,98.1
2014-09-30,3250.0,82.3,2014-12-19,109.3
2014-09-30,3275.0,69.6,2014-12-19,121.6
2014-09-30,3175.0,171.0,2015-03-20,129.2
2014-09-30,3200.0,156.1,2015-03-20,139.4
2014-09-30,3225.0,142.0,2015-03-20,150.3
2014-09-30,3250.0,128.5,2015-03-20,161.8
2014-09-30,3275.0,115.8,2015-03-20,174.0
2014-09-30,3175.0,82.3,2014-10-17,24.5
2014-09-30,3200.0,64.3,2014-10-17,31.5
2014-09-30,3225.0,48.3,2014-10-17,40.5
2014-09-30,3250.0,34.6,2014-10-17,51.8
2014-09-30,3275.0,23.5,2014-10-17,65.8
